subject,stage_pre,model,channel,channel_index,baseline_accuracy_percent_pre,shuffled_accuracy_percent_mean_pre,shuffled_accuracy_percent_sd_pre,contribution_pp_pre,contribution_pp_positive_pre,contribution_norm_pre,stage_post,baseline_accuracy_percent_post,shuffled_accuracy_percent_mean_post,shuffled_accuracy_percent_sd_post,contribution_pp_post,contribution_pp_positive_post,contribution_norm_post,contribution_change_pp,contribution_change_norm,change_direction
P1,PRE,Fixed CSP+LDA,FC3,1,82.5,50.916666666666664,1.5115297622680877,31.583333333333336,31.583333333333336,0.9346485819975341,POST,90.0,52.583333333333336,0.8498365855987985,37.416666666666664,37.416666666666664,0.9502645502645503,5.833333333333329,0.015615968267016167,increased
P1,PRE,Fixed CSP+LDA,FCz,2,82.5,48.708333333333336,1.3103487661263653,33.791666666666664,33.791666666666664,1.0,POST,90.0,61.25000000000001,1.6457014715109575,28.749999999999993,28.749999999999993,0.73015873015873,-5.041666666666671,-0.26984126984127,decreased
P1,PRE,Fixed CSP+LDA,FC4,3,82.5,50.33333333333333,0.9646530752325179,32.16666666666667,32.16666666666667,0.9519112207151667,POST,90.0,75.41666666666667,2.148966159704603,14.583333333333329,14.583333333333329,0.37037037037037024,-17.583333333333343,-0.5815408503447964,decreased
P1,PRE,Fixed CSP+LDA,C5,4,82.5,50.66666666666666,1.1960583412006098,31.833333333333343,31.833333333333343,0.9420468557336625,POST,90.0,60.958333333333336,1.728539042724295,29.041666666666664,29.041666666666664,0.7375661375661375,-2.7916666666666785,-0.204480718167525,decreased
P1,PRE,Fixed CSP+LDA,C3,5,82.5,73.00000000000001,2.179449471770338,9.499999999999986,9.499999999999986,0.2811344019728726,POST,90.0,60.0,2.0916500663351894,30.0,30.0,0.7619047619047619,20.500000000000014,0.48077035993188927,increased
P1,PRE,Fixed CSP+LDA,C1,6,82.5,54.166666666666664,1.6244657241348281,28.333333333333336,28.333333333333336,0.838471023427867,POST,90.0,50.625,0.8385254915624206,39.375,39.375,1.0,11.041666666666664,0.16152897657213305,increased
P1,PRE,Fixed CSP+LDA,Cz,7,82.5,50.29166666666667,0.8343743497708654,32.20833333333333,32.20833333333333,0.9531442663378544,POST,90.0,50.66666666666665,0.7728015412913076,39.33333333333335,39.33333333333335,0.9989417989417994,7.125000000000021,0.045797532603944924,increased
P1,PRE,Fixed CSP+LDA,C2,8,82.5,56.00000000000001,1.1365151414154857,26.499999999999993,26.499999999999993,0.7842170160295929,POST,90.0,74.04166666666666,3.8008131439937367,15.958333333333343,15.958333333333343,0.40529100529100553,-10.54166666666665,-0.3789260107385874,decreased
P1,PRE,Fixed CSP+LDA,C4,9,82.5,50.624999999999986,1.0077822185373182,31.875000000000014,31.875000000000014,0.9432799013563506,POST,90.0,55.87500000000001,1.2140668570277866,34.12499999999999,34.12499999999999,0.8666666666666665,2.2499999999999787,-0.07661323468968417,increased
P1,PRE,Fixed CSP+LDA,C6,10,82.5,52.5,0.9128709291752767,30.0,30.0,0.8877928483353885,POST,90.0,86.33333333333336,1.8800856954464131,3.666666666666643,3.666666666666643,0.09312169312169252,-26.333333333333357,-0.794671155213696,decreased
