subject,stage,model,channel,channel_index,baseline_accuracy_percent,shuffled_accuracy_percent_mean,shuffled_accuracy_percent_sd,contribution_pp,contribution_pp_positive,contribution_norm
P1,POST,Fixed CSP+LDA,Pz,16,90.0,54.083333333333336,1.0671873729054755,35.916666666666664,35.916666666666664,0.9121693121693121
P2,PRE,Fixed CSP+LDA,FC3,1,70.0,60.875000000000014,2.1686689466121845,9.124999999999986,9.124999999999986,0.45624999999999927
P2,PRE,Fixed CSP+LDA,FCz,2,70.0,50.24999999999999,0.8779711460710606,19.750000000000007,19.750000000000007,0.9875000000000004
P2,PRE,Fixed CSP+LDA,FC4,3,70.0,50.24999999999999,0.8164965809277259,19.750000000000007,19.750000000000007,0.9875000000000004
P2,PRE,Fixed CSP+LDA,C5,4,70.0,50.083333333333336,0.78616509433805,19.916666666666664,19.916666666666664,0.9958333333333332
P2,PRE,Fixed CSP+LDA,C3,5,70.0,73.70833333333333,1.0937003957005573,-3.7083333333333286,0.0,0.0
P2,PRE,Fixed CSP+LDA,C1,6,70.0,54.208333333333336,1.5969806580614003,15.791666666666664,15.791666666666664,0.7895833333333332
P2,PRE,Fixed CSP+LDA,Cz,7,70.0,50.29166666666666,0.6984606089266737,19.708333333333343,19.708333333333343,0.9854166666666672
P2,PRE,Fixed CSP+LDA,C2,8,70.0,50.0,0.7216878364870313,20.0,20.0,1.0
P2,PRE,Fixed CSP+LDA,C4,9,70.0,50.29166666666667,0.8343743497708653,19.70833333333333,19.70833333333333,0.9854166666666664
P2,PRE,Fixed CSP+LDA,C6,10,70.0,66.875,3.0405248998596726,3.125,3.125,0.15625
P2,PRE,Fixed CSP+LDA,CP3,11,70.0,67.87499999999999,3.2779249025361556,2.125000000000014,2.125000000000014,0.1062500000000007
P2,PRE,Fixed CSP+LDA,CP1,12,70.0,73.625,1.8071040368501208,-3.625,0.0,0.0
P2,PRE,Fixed CSP+LDA,CPz,13,70.0,65.16666666666667,2.158638974498104,4.833333333333329,4.833333333333329,0.24166666666666642
P2,PRE,Fixed CSP+LDA,CP2,14,70.0,50.208333333333336,0.5667279378639752,19.791666666666664,19.791666666666664,0.9895833333333333
P2,PRE,Fixed CSP+LDA,CP4,15,70.0,55.333333333333336,2.956865833201695,14.666666666666664,14.666666666666664,0.7333333333333332
P2,PRE,Fixed CSP+LDA,Pz,16,70.0,50.708333333333336,1.0043308994328286,19.291666666666664,19.291666666666664,0.9645833333333332
P2,POST,Fixed CSP+LDA,FC3,1,93.75,93.66666666666664,1.2047360245667453,0.08333333333335702,0.08333333333335702,0.0019249278152074767
P2,POST,Fixed CSP+LDA,FCz,2,93.75,50.58333333333332,0.7728015412913077,43.16666666666668,43.16666666666668,0.9971126082771897
P2,POST,Fixed CSP+LDA,FC4,3,93.75,50.45833333333333,0.6023680122833713,43.29166666666667,43.29166666666667,1.0
P2,POST,Fixed CSP+LDA,C5,4,93.75,68.08333333333334,1.1055415967851319,25.666666666666657,25.666666666666657,0.5928777670837341
P2,POST,Fixed CSP+LDA,C3,5,93.75,77.50000000000001,2.393567769390845,16.249999999999986,16.249999999999986,0.3753609239653509
P2,POST,Fixed CSP+LDA,C1,6,93.75,50.624999999999986,0.7034142923389206,43.125000000000014,43.125000000000014,0.9961501443695864
P2,POST,Fixed CSP+LDA,Cz,7,93.75,50.45833333333333,0.821795121804833,43.29166666666667,43.29166666666667,1.0
P2,POST,Fixed CSP+LDA,C2,8,93.75,50.541666666666664,0.8343743497708653,43.208333333333336,43.208333333333336,0.998075072184793
P2,POST,Fixed CSP+LDA,C4,9,93.75,57.29166666666667,1.9654127358451254,36.45833333333333,36.45833333333333,0.8421559191530316
P2,POST,Fixed CSP+LDA,C6,10,93.75,50.624999999999986,0.7739239842086119,43.125000000000014,43.125000000000014,0.9961501443695864
P2,POST,Fixed CSP+LDA,CP3,11,93.75,67.83333333333333,2.211083193570267,25.91666666666667,25.91666666666667,0.5986525505293552
P2,POST,Fixed CSP+LDA,CP1,12,93.75,90.12499999999999,0.9326262202333081,3.625000000000014,3.625000000000014,0.08373435996150176
P2,POST,Fixed CSP+LDA,CPz,13,93.75,50.79166666666666,1.1403276819503336,42.95833333333334,42.95833333333334,0.9923002887391724
P2,POST,Fixed CSP+LDA,CP2,14,93.75,50.541666666666664,0.834374349770866,43.208333333333336,43.208333333333336,0.998075072184793
P2,POST,Fixed CSP+LDA,CP4,15,93.75,76.4583333333333,2.1184539698143596,17.2916666666667,17.2916666666667,0.3994225216554386
P2,POST,Fixed CSP+LDA,Pz,16,93.75,90.29166666666666,1.2367351733046537,3.458333333333343,3.458333333333343,0.07988450433108779
P3,PRE,Fixed CSP+LDA,FC3,1,87.5,93.79166666666666,1.1851218877773233,-6.291666666666657,0.0,0.0
P3,PRE,Fixed CSP+LDA,FCz,2,87.5,75.62499999999999,2.845866886088198,11.875000000000014,11.875000000000014,0.3184357541899445
P3,PRE,Fixed CSP+LDA,FC4,3,87.5,94.20833333333333,1.5969806580613997,-6.708333333333329,0.0,0.0
P3,PRE,Fixed CSP+LDA,C5,4,87.5,82.91666666666664,1.6244657241348277,4.583333333333357,4.583333333333357,0.12290502793296154
P3,PRE,Fixed CSP+LDA,C3,5,87.5,60.20833333333333,1.4819516036482294,27.29166666666667,27.29166666666667,0.7318435754189946
P3,PRE,Fixed CSP+LDA,C1,6,87.5,81.62500000000003,2.6447668454263917,5.874999999999972,5.874999999999972,0.15754189944134003
P3,PRE,Fixed CSP+LDA,Cz,7,87.5,50.208333333333336,0.727677049857206,37.291666666666664,37.291666666666664,1.0
P3,PRE,Fixed CSP+LDA,C2,8,87.5,52.66666666666667,1.2801909579781028,34.83333333333333,34.83333333333333,0.9340782122905027
P3,PRE,Fixed CSP+LDA,C4,9,87.5,50.541666666666664,0.7694243880258071,36.958333333333336,36.958333333333336,0.9910614525139666
